LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EXCH,TOT,NATUSD,A,2008,1.192178,
AUS,EXCH,TOT,NATUSD,A,2009,1.282189,
AUS,EXCH,TOT,NATUSD,A,2010,1.090159,
AUS,EXCH,TOT,NATUSD,A,2011,0.969463,
AUS,EXCH,TOT,NATUSD,A,2012,0.965801,
AUS,EXCH,TOT,NATUSD,A,2013,1.035843,
AUS,EXCH,TOT,NATUSD,A,2014,1.109363,
AUS,EXCH,TOT,NATUSD,A,2015,1.33109,
AUS,EXCH,TOT,NATUSD,A,2016,1.345214,
AUS,EXCH,TOT,NATUSD,A,2017,1.304758,
AUT,EXCH,TOT,NATUSD,A,2008,0.682675,
AUT,EXCH,TOT,NATUSD,A,2009,0.719843,
AUT,EXCH,TOT,NATUSD,A,2010,0.755045,
AUT,EXCH,TOT,NATUSD,A,2011,0.719355,
AUT,EXCH,TOT,NATUSD,A,2012,0.778294,
AUT,EXCH,TOT,NATUSD,A,2013,0.753159,
AUT,EXCH,TOT,NATUSD,A,2014,0.753731,
AUT,EXCH,TOT,NATUSD,A,2015,0.901659,
AUT,EXCH,TOT,NATUSD,A,2016,0.904035,
AUT,EXCH,TOT,NATUSD,A,2017,0.887397,
BEL,EXCH,TOT,NATUSD,A,2008,0.682675,
BEL,EXCH,TOT,NATUSD,A,2009,0.719843,
BEL,EXCH,TOT,NATUSD,A,2010,0.755045,
BEL,EXCH,TOT,NATUSD,A,2011,0.719355,
BEL,EXCH,TOT,NATUSD,A,2012,0.778294,
BEL,EXCH,TOT,NATUSD,A,2013,0.753159,
BEL,EXCH,TOT,NATUSD,A,2014,0.753731,
BEL,EXCH,TOT,NATUSD,A,2015,0.901659,
BEL,EXCH,TOT,NATUSD,A,2016,0.904035,
BEL,EXCH,TOT,NATUSD,A,2017,0.887397,
CAN,EXCH,TOT,NATUSD,A,2008,1.06704,
CAN,EXCH,TOT,NATUSD,A,2009,1.143101,
CAN,EXCH,TOT,NATUSD,A,2010,1.030163,
CAN,EXCH,TOT,NATUSD,A,2011,0.989531,
CAN,EXCH,TOT,NATUSD,A,2012,0.999188,
CAN,EXCH,TOT,NATUSD,A,2013,1.029797,
CAN,EXCH,TOT,NATUSD,A,2014,1.106105,
CAN,EXCH,TOT,NATUSD,A,2015,1.279098,
CAN,EXCH,TOT,NATUSD,A,2016,1.3254,
CAN,EXCH,TOT,NATUSD,A,2017,1.297737,
CZE,EXCH,TOT,NATUSD,A,2008,17.071667,
CZE,EXCH,TOT,NATUSD,A,2009,19.063,
CZE,EXCH,TOT,NATUSD,A,2010,19.09825,
CZE,EXCH,TOT,NATUSD,A,2011,17.695917,
CZE,EXCH,TOT,NATUSD,A,2012,19.5775,
CZE,EXCH,TOT,NATUSD,A,2013,19.570583,
CZE,EXCH,TOT,NATUSD,A,2014,20.7575,
CZE,EXCH,TOT,NATUSD,A,2015,24.59875,
CZE,EXCH,TOT,NATUSD,A,2016,24.439917,
CZE,EXCH,TOT,NATUSD,A,2017,23.376333,
DNK,EXCH,TOT,NATUSD,A,2008,5.098131,
DNK,EXCH,TOT,NATUSD,A,2009,5.360867,
DNK,EXCH,TOT,NATUSD,A,2010,5.624075,
DNK,EXCH,TOT,NATUSD,A,2011,5.368712,
DNK,EXCH,TOT,NATUSD,A,2012,5.792476,
DNK,EXCH,TOT,NATUSD,A,2013,5.616312,
DNK,EXCH,TOT,NATUSD,A,2014,5.612467,
DNK,EXCH,TOT,NATUSD,A,2015,6.727907,
DNK,EXCH,TOT,NATUSD,A,2016,6.731718,
DNK,EXCH,TOT,NATUSD,A,2017,6.602893,
FIN,EXCH,TOT,NATUSD,A,2008,0.682675,
FIN,EXCH,TOT,NATUSD,A,2009,0.719843,
FIN,EXCH,TOT,NATUSD,A,2010,0.755045,
FIN,EXCH,TOT,NATUSD,A,2011,0.719355,
FIN,EXCH,TOT,NATUSD,A,2012,0.778294,
FIN,EXCH,TOT,NATUSD,A,2013,0.753159,
FIN,EXCH,TOT,NATUSD,A,2014,0.753731,
FIN,EXCH,TOT,NATUSD,A,2015,0.901659,
FIN,EXCH,TOT,NATUSD,A,2016,0.904035,
FIN,EXCH,TOT,NATUSD,A,2017,0.887397,
FRA,EXCH,TOT,NATUSD,A,2008,0.682675,
FRA,EXCH,TOT,NATUSD,A,2009,0.719843,
FRA,EXCH,TOT,NATUSD,A,2010,0.755045,
FRA,EXCH,TOT,NATUSD,A,2011,0.719355,
FRA,EXCH,TOT,NATUSD,A,2012,0.778294,
FRA,EXCH,TOT,NATUSD,A,2013,0.753159,
FRA,EXCH,TOT,NATUSD,A,2014,0.753731,
FRA,EXCH,TOT,NATUSD,A,2015,0.901659,
FRA,EXCH,TOT,NATUSD,A,2016,0.904035,
FRA,EXCH,TOT,NATUSD,A,2017,0.887397,
DEU,EXCH,TOT,NATUSD,A,2008,0.682675,
DEU,EXCH,TOT,NATUSD,A,2009,0.719843,
DEU,EXCH,TOT,NATUSD,A,2010,0.755045,
DEU,EXCH,TOT,NATUSD,A,2011,0.719355,
DEU,EXCH,TOT,NATUSD,A,2012,0.778294,
DEU,EXCH,TOT,NATUSD,A,2013,0.753159,
DEU,EXCH,TOT,NATUSD,A,2014,0.753731,
DEU,EXCH,TOT,NATUSD,A,2015,0.901659,
DEU,EXCH,TOT,NATUSD,A,2016,0.904035,
DEU,EXCH,TOT,NATUSD,A,2017,0.887397,
GRC,EXCH,TOT,NATUSD,A,2008,0.682675,
GRC,EXCH,TOT,NATUSD,A,2009,0.719843,
GRC,EXCH,TOT,NATUSD,A,2010,0.755045,
GRC,EXCH,TOT,NATUSD,A,2011,0.719355,
GRC,EXCH,TOT,NATUSD,A,2012,0.778294,
GRC,EXCH,TOT,NATUSD,A,2013,0.753159,
GRC,EXCH,TOT,NATUSD,A,2014,0.753731,
GRC,EXCH,TOT,NATUSD,A,2015,0.901659,
GRC,EXCH,TOT,NATUSD,A,2016,0.904035,
GRC,EXCH,TOT,NATUSD,A,2017,0.887397,
HUN,EXCH,TOT,NATUSD,A,2008,172.113333,
HUN,EXCH,TOT,NATUSD,A,2009,202.341667,
HUN,EXCH,TOT,NATUSD,A,2010,207.944167,
HUN,EXCH,TOT,NATUSD,A,2011,201.055,
HUN,EXCH,TOT,NATUSD,A,2012,225.104167,
HUN,EXCH,TOT,NATUSD,A,2013,223.695,
HUN,EXCH,TOT,NATUSD,A,2014,232.601667,
